"License.Se","License.Ty","License.Cl","License._1","Agency.Zon","Agency.Z_1","County.Nam","Premises.N","Doing.Busi","Actual.Add","Additional","City","State","Zip","License.Ce","License.Or","License.Ef","License.Ex","Latitude","Longitude","Location","BoroCode","BoroName","CountyFIPS","NTACode","NTAName","Shape_Leng","Shape_Area","coords.x1","coords.x2"
1235996,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","MADMCW CORP","SCOTTADITO","788A UNION ST",NA,"BROOKLYN","NY",11215,803452,"04/09/2010","04/01/2014","03/31/2016",40.67477973,-73.97643573,"(40.67477973, -73.97643573)",3,"Brooklyn","047","BK37","Park Slope-Gowanus",31459.9603085,42511079.8151,990786.391980509,185117.738286061
1235986,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","FATTY FISH MANHATTAN INC",NA,"406 E 64TH STREET","LEXINGTON AND THIRD AVENUES","NEW YORK","NY",10021,834641,"05/24/2010","05/01/2014","04/30/2016",40.76245434,-73.9591987,"(40.76245434, -73.9591987)",1,"Manhattan","061","MN31","Lenox Hill-Roosevelt Island",37708.4443316,21501564.9178,995552.819375106,217062.040326534
1137706,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","DOWNTOWN RESTAURANT GROUP LLC","GRIFFIN","50 GANSEVOORT ST",NA,"NEW YORK","NY",10014,852567,"09/11/2003","09/01/2015","08/31/2017",40.73939115,-74.00658088,"(40.73939115, -74.00658088)",1,"Manhattan","061","MN23","West Village",29385.0304235,25000526.3287,982426.326319113,208656.81224104
1210362,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","OTG JFK T5 VENTURE LLC",NA,"JFK AIRPORT TERM 5 GATE NC",NA,"JAMAICA","NY",11430,837221,"10/21/2008","10/01/2014","09/30/2016",40.65394477,-73.79089912,"(40.65394477, -73.79089912)",4,"Queens","081","QN98","Airport",134833.935176,227761739.697,1042269.66327047,177595.345359648
1012243,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","KARUNVIR INC",NA,"750 MANHATTAN AVE",NA,"BROOKLYN","NY",11222,844824,"03/26/1999","03/01/2015","02/28/2017",40.72662296,-73.95233208,"(40.72662296, -73.95233208)",3,"Brooklyn","047","BK76","Greenpoint",29112.4640472,35338772.1582,997462.121447649,204008.486757702
1040611,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","OLD TIME VINCENTS CLAM BAR,THE","& ITALIAN RESTAURANT INC","159 13 CROSS BAY BLVD",NA,"HOWARD BEACH","NY",11414,843748,NA,"02/01/2015","01/31/2017",40.6589639,-73.83965908,"(40.6589639, -73.83965908)",4,"Queens","081","QN57","Lindenwood-Howard Beach",78408.1907489,63887537.6349,1028736.80434002,179395.420494138
1235625,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","VELVET ROPE LOUNGE CORP",NA,"3212 3214 CONEY ISLAND AVENUE",NA,"BROOKLYN","NY",11235,834402,"02/17/2010","02/01/2014","01/31/2016",40.57748088,-73.95967068,"(40.57748088, -73.95967068)",3,"Brooklyn","047","BK19","Brighton Beach",21058.6637932,17181812.9721,995453.097508808,149670.875735909
1260830,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","LA ROLA RESTAURANT INC",NA,"400 E 198TH ST",NA,"BRONX","NY",10458,835326,"06/04/2012","06/01/2014","05/31/2016",40.86648111,-73.88634771,"(40.86648111, -73.88634771)",2,"Bronx","005","BX05","Bedford Park-Fordham North",22565.481934,14998883.2132,1015684.8962427,254980.483678569
1040609,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","ROMA VIEW CATERING INC",NA,"160 05 CROSS BAY BLVD",NA,"HOWARD BEACH","NY",11414,853702,NA,"10/01/2015","09/30/2017",40.65739959,-73.83928296,"(40.65739959, -73.83928296)",4,"Queens","081","QN57","Lindenwood-Howard Beach",78408.1907489,63887537.6349,1028842.20487442,178825.690944251
1235540,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MARQUEE MERCHANDISE LLC","HELEN HAYES THEATRE","240 W 44TH ST",NA,"NEW YORK","NY",10036,855612,"02/17/2010","02/01/2016","01/31/2018",40.75798455,-73.98767677,"(40.75798455, -73.98767677)",1,"Manhattan","061","MN17","Midtown-Midtown South",27035.7381234,30192056.8923,987664.023446384,215431.157235871
