"License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
1274306,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","LIME BAR & LOUNGE INC, THE","","171-02 JAMAICA AVE","","JAMAICA","NY",11432,855915,"12/23/2013","12/24/2015","11/30/2017",40.70719632,-73.78834473,"(40.70719632, -73.78834473)"
1274296,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MADISON SQUARE TAVERN INC","MADISON SQUARE TAVERN INC","150 W 30TH ST","","NEW YORK","NY",10001,831647,"05/19/2015","05/19/2015","04/30/2017",40.74789584,-73.99110165,"(40.74789584, -73.99110165)"
1149954,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","JERETON ENTERTAINMENT INC","XES LOUNGE","157 W 24TH ST","6TH  & 7TH AVENUES","NEW YORK","NY",10011,835039,"06/23/2004","06/01/2014","05/31/2016",40.74427928,-73.99389174,"(40.74427928, -73.99389174)"
1196946,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","AVATORE INC","","457 3RD AVE","NINTH & TENTH ST","BROOKLYN","NY",11215,856021,"12/10/2007","12/01/2015","11/30/2017",40.67145226,-73.99101636,"(40.67145226, -73.99101636)"
1249442,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","MULAN RESTAURANT LLC","","13620 39TH AVE","BETWEEN 38TH AND 39TH","FLUSHING","NY",11354,848477,"04/27/2011","04/01/2015","03/31/2017",40.76031854,-73.82986708,"(40.76031854, -73.82986708)"
1150002,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MENDARED LLC","LE SOUK HAREM","510 LA GUARDIA PLACE","BLEECKER & HOUSTON STREETS","NEW YORK","NY",10012,835201,"06/15/2004","06/01/2014","05/31/2016",40.72776779,-73.99927918,"(40.72776779, -73.99927918)"
1150034,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","BAB CAFE LLC","","129-131 AVENUE C","8TH & 9TH STREETS","NEW YORK","NY",10009,836420,"05/20/2004","06/25/2014","04/30/2016",40.72477148,-73.97834121,"(40.72477148, -73.97834121)"
1249492,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","HOWEM ENTERTAINMENT CORP","PARKSIDE PUB","24 14 149TH STREET","","WHITESTONE","NY",11357,845308,"03/02/2011","03/03/2015","02/28/2017",40.7768831,-73.81765325,"(40.7768831, -73.81765325)"
1150036,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","CINEFEL INC","KOMBIT","279 FLATBUSH AVENUE","PROSPECT PALCE & ST MARKS","BROOKLYN","NY",11217,835661,"06/24/2004","06/01/2014","05/31/2016",40.67950101,-73.97405826,"(40.67950101, -73.97405826)"
1249507,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MOSEX EXHIBIT 1 LLC","MUSEUM OF SEX","233 5TH AVENUE AKA 1 E 27TH ST","","NEW YORK","NY",10016,843224,"02/09/2011","02/01/2015","01/31/2017",40.74411888,-73.98762025,"(40.74411888, -73.98762025)"
1268352,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","DTUT CAFE INC","","1744 2ND AVE","","NEW YORK","NY",10128,846601,"05/29/2013","05/04/2015","04/30/2017",40.78093367,-73.94947227,"(40.78093367, -73.94947227)"
1150048,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ALI BABA'S TURKISH CUISINE INC","","212B E 34TH ST","2ND & 3RD AVENUES","NEW YORK","NY",10016,838618,"10/07/2004","10/01/2014","09/30/2016",40.74545134,-73.97748378,"(40.74545134, -73.97748378)"
1249533,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","EL MIXTECO INC","","192 AVE U","","BROOKLYN","NY",11223,845438,"03/21/2011","03/05/2015","02/28/2017",40.5965096,-73.97704941,"(40.5965096, -73.97704941)"
1274221,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","AY RESTAURANT CORP","FABIO","214 E 52ND ST","","NEW YORK","NY",10022,856598,"11/13/2013","01/08/2016","10/31/2017",40.75690811,-73.96947543,"(40.75690811, -73.96947543)"
1108697,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","SCOTTY'S PLACE INC","","17 WILLIAMS AVENUE","","BROOKLYN","NY",11207,838150,"","09/01/2014","08/31/2016",40.6761419,-73.90070877,"(40.6761419, -73.90070877)"
1283481,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CASCALOTE LATIN BISTRO INC","CASCALOTE LATIN BISTRO","2126 2ND AVE","","NEW YORK","NY",10029,831296,"03/17/2015","03/17/2015","02/28/2017",40.79265,-73.94058,"(40.79265, -73.94058)"
1285484,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","390 BROOME RESTAURANT LLC","SEAMORE'S","390 BROOME ST","","NEW YORK","NY",10013,831829,"06/05/2015","06/05/2015","05/31/2017",40.72073,-73.99696,"(40.72073, -73.99696)"
1150083,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","RENNIE W BROOKS","B & B SPORTS CLUB","644 FRANKLIN AVENUE","BERGEN & ST MARKS","BROOKLYN","NY",11238,838629,"06/30/2004","09/15/2014","05/31/2016",40.67631028,-73.95599906,"(40.67631028, -73.95599906)"
1222232,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","395 RESTAURANT LLC","","395 WEST STREET","CHRISTOPHER AND W 10TH ST","NEW YORK","NY",10014,850971,"08/05/2009","08/01/2015","07/31/2017",40.73313541,-74.01007385,"(40.73313541, -74.01007385)"
1250497,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TATMAR RESTAURANT INC","QUATORZE BIS","323 E 79TH STREET","","NEW YORK","NY",10075,842902,"02/01/2011","02/01/2015","01/31/2017",40.77313187,-73.95443995,"(40.77313187, -73.95443995)"
1274185,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","KINFOLK GENERAL INC","KINFOLK","94 WYTHE AVE","","BROOKLYN","NY",11211,810752,"04/17/2014","04/17/2014","03/31/2016",40.72156283,-73.95823684,"(40.72156283, -73.95823684)"
1196697,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","FTCCM LLC","UGLY KITCHEN","103 1ST AVE","","NEW YORK","NY",10003,853989,"10/31/2007","10/01/2015","09/30/2017",40.72659575,-73.98609913,"(40.72659575, -73.98609913)"
1249581,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","FREDDY S NEXT BAR LLC","","627 5TH AVENUE","","BROOKLYN","NY",11215,842486,"01/24/2011","01/01/2015","12/31/2016",40.66334039,-73.99125544,"(40.66334039, -73.99125544)"
1012539,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","NIGHT FLIGHT INC","BAMBOO GARDEN RESTAURANT","9505 AVENUE L","","BROOKLYN","NY",11236,845018,"","03/01/2015","02/28/2017",40.63773732,-73.89685545,"(40.63773732, -73.89685545)"
1249588,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","307 THIRD AVENUE EAST VENTURE LLC","TAP ROOM NO 307","307 3RD AVE AKA 201 E 23RD ST","","NEW YORK","NY",10010,849331,"04/07/2011","04/27/2015","03/31/2017",40.73905202,-73.98288583,"(40.73905202, -73.98288583)"
1273451,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","MD CAFE LOUNGE CORP","ESCAPE RESTAURANT LOUNGE","3489 JEROME AVE","","BRONX","NY",10467,856373,"01/24/2014","01/01/2016","12/31/2017",40.88260387,-73.88147152,"(40.88260387, -73.88147152)"
1196544,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","STAY GOLD GALLERY LLC","TROPHY","351 BROADWAY","RODNEY ST/KEAP ST","BROOKLYN","NY",11211,810564,"03/28/2008","03/11/2014","02/29/2016",40.7076957,-73.95565968,"(40.7076957, -73.95565968)"
1249599,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","61 WOODSIDE CORP","METRO KITCHEN","61 10/12 ROOSEVELT AVENUE","","WOODSIDE","NY",11377,845905,"01/31/2011","04/24/2015","12/31/2016",43.01036512,-78.8790393,"(43.01036512, -78.8790393)"
1108563,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HIKO INC","TSUKUSHI RESTAURANT","300 E 41ST STREET","","NEW YORK","NY",10017,838533,"","10/01/2014","09/30/2016",40.74907057,-73.97267394,"(40.74907057, -73.97267394)"
