"License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
1282584,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HEALTHY APPETITES LLC","THE MISSING INGREDIENT","99 BANK ST","","NEW YORK","NY",10014,852090,"10/05/2015","10/05/2015","09/30/2017",40.73649,-74.0066,"(40.73649, -74.0066)"
1282574,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","GARIBALDI 0674 INC","SLICK WILLIE","179 MESEROLE AVE","","BROOKLYN","NY",11222,831118,"01/29/2015","01/29/2015","12/31/2016",40.72842,-73.94932,"(40.72842, -73.94932)"
1273956,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","TACI'S BEYTI RESTAURANT INC","TACI'S BEYTI TURKISH RESTAURANT","1953 1955 CONEY ISLAND AVE","","BROOKLYN","NY",11223,854552,"11/26/2013","11/01/2015","10/31/2017",40.60958342,-73.96223035,"(40.60958342, -73.96223035)"
1273957,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","VERA CRUZ ON BEDFORD AVE CORP","VERA CRUZ ON BEDFORD AVE","195 BEDFORD AVE","","BROOKLYN","NY",11211,855377,"11/26/2013","11/03/2015","10/31/2017",40.71740542,-73.95820614,"(40.71740542, -73.95820614)"
1282561,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","EAT THIRD 79 LLC","","1390 3RD AVE","","NEW YORK","NY",10075,832345,"10/08/2015","10/08/2015","09/30/2017",40.77452,-73.95744,"(40.77452, -73.95744)"
1219955,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","BRIDGE 109 CORP","GORDON BENNETT","109 S 6TH STREET","BEDFORD AND BERRY","BROOKLYN","NY",11249,849727,"06/25/2009","06/01/2015","05/31/2017",40.71093057,-73.96495487,"(40.71093057, -73.96495487)"
1273963,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","GW MARKET LLC ET AL","","600 11TH AVE","","NEW YORK","NY",10036,855076,"11/19/2013","11/01/2015","10/31/2017",40.76274586,-73.9968235,"(40.76274586, -73.9968235)"
1196150,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ILURAS LLC & 358 W 44TH ST THEATER CO INC","ILURAS","358 W 44 ST 2ND FLOOR","8TH & 9TH AVES.","NEW YORK","NY",10036,844872,"03/30/2009","03/01/2015","02/28/2017",40.75917979,-73.9905279,"(40.75917979, -73.9905279)"
1273973,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","EMH 919 INC","EMILY","919 FULTON ST","","BROOKLYN","NY",11238,855547,"01/29/2014","01/01/2016","12/31/2017",40.68338376,-73.96642032,"(40.68338376, -73.96642032)"
1282520,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","M & J CAFE INC","CAFE CON LECHE","2026 2ND AVE","","NEW YORK","NY",10029,831880,"06/17/2015","06/17/2015","05/31/2017",40.78935,-73.94298,"(40.78935, -73.94298)"
1209785,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","UNDER CHELSEA LLC","THE RAINES LAW ROOM","48 W 17TH STREET","","NEW YORK","NY",10011,843231,"01/06/2009","01/06/2015","12/31/2016",40.73851898,-73.99379579,"(40.73851898, -73.99379579)"
1279103,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","DELLMARG INC","MICHAEL'S MEATBALLS AND MARTINIS","1816 HYLAN BLVD","","STATEN ISLAND","NY",10305,811226,"07/23/2014","07/23/2014","06/30/2016",40.58483,-74.09374,"(40.58483, -74.09374)"
1160761,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","PERRY STREET PROJECT LLC","","176 PERRY STREET","CRN OF W & LITTLE CHARLES STS","NEW YORK","NY",10014,848314,"05/05/2005","05/01/2015","04/30/2017",40.73463239,-74.00921659,"(40.73463239, -74.00921659)"
1118427,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","JADA RESTAURANT INC","THE BENNETT","134 W BROADWAY","","NEW YORK","NY",10013,839567,"10/17/2001","11/24/2015","09/30/2017",40.71669929,-74.00827094,"(40.71669929, -74.00827094)"
1256570,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","DADDYOS BBQ & SPORTS BAR INC","","35 ANDROVETTE ST","","STATEN ISLAND","NY",10309,851813,"09/30/2011","09/01/2015","08/31/2017",40.53502097,-74.23714973,"(40.53502097, -74.23714973)"
1219742,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","C I LOBSTER CORP","CITY ISLAND LOBSTER HOUSE","691 BRIDGE STREET","","BRONX","NY",104641102,850215,"07/29/2009","07/01/2015","06/30/2017",40.85678924,-73.79061536,"(40.85678924, -73.79061536)"
1288985,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","SALOME LATIN CUISINE CORP","","2152 WESTCHESTER AVE","","BRONX","NY",10462,839670,"12/17/2015","12/17/2015","11/30/2017",40.83395,-73.85266,"(40.83395, -73.85266)"
1219723,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","MACUMBA BAR & RESTAURANT INC","","184 35 JAMAICA AVENUE","184TH ST & 185TH ST","HOLLIS","NY",11423,851911,"09/24/2009","09/01/2015","08/31/2017",40.70950182,-73.77490367,"(40.70950182, -73.77490367)"
1219664,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ALTAMAREA LLC","MAREA","240 CENTRAL PARK SOUTH","","NEW YORK","NY",10019,847953,"04/30/2009","04/01/2015","03/31/2017",40.76723964,-73.98008915,"(40.76723964, -73.98008915)"
1108353,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","COSITAS RICAS CORP","","79-19 ROOSEVELT AVENUE","78TH STREET & 80TH STREET","JACKSON HEIGHTS","NY",11372,848077,"","04/01/2015","03/31/2017",40.74741471,-73.88653856,"(40.74741471, -73.88653856)"
1282408,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","A S SUBWAY INN INC","SUBWAY INN","1140 SECOND AVE","","NEW YORK","NY",10022,845738,"02/25/2015","02/25/2015","08/31/2016",40.76122,-73.96351,"(40.76122, -73.96351)"
1196213,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","11 SCHUYLER ST CORP","BESO","11 SCHUYLER ST","STUYVESANT PL & RICHMOND TERR","STATEN ISLAND","NY",10301,856160,"12/12/2007","12/01/2015","11/30/2017",40.64349149,-74.07633431,"(40.64349149, -74.07633431)"
1274006,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MN BUSINESS GROUP INC","ADAR LOUNGE","1637 PARK AVE","STORE C2","NEW YORK","NY",10029,855268,"12/04/2013","12/01/2015","11/30/2017",40.79923018,-73.94312715,"(40.79923018, -73.94312715)"
1282387,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","71 WORTH LLC","AS IS NYC","734 10TH AVE","","NEW YORK","NY",10019,839605,"12/04/2015","11/25/2015","10/31/2017",40.76466,-73.99144,"(40.76466, -73.99144)"
1124884,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MALETONA CORP","FINO RISTORANTE","1 WALL STREET COURT","PEAR & BEAVER","NEW YORK","NY",10005,803354,"04/24/2002","04/01/2014","03/31/2016",40.70768619,-74.01172557,"(40.70768619, -74.01172557)"
1282369,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","CHICHIPATO CORP","ESTACION GRILL & BAR","42-12 BROADWAY","","ASTORIA","NY",11103,845969,"05/07/2015","05/07/2015","04/30/2017",40.75743,-73.91631,"(40.75743, -73.91631)"
1219481,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","LOS MISMO RESTAURANT CORP","LOS MISMO AMIGOS REST","104 11 ROOSEVELT AVENUE","104TH STREET  108TH ST","CORONA","NY",11368,848063,"05/11/2009","05/01/2015","04/30/2017",40.75003898,-73.86159242,"(40.75003898, -73.86159242)"
1282356,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SUPERSPACE LLC","AMBROSE BEER & LOBSTER","18 FULTON ST","","NEW YORK","NY",10038,846227,"12/24/2014","07/16/2015","11/30/2016",40.70711,-74.00392,"(40.70711, -74.00392)"
1274011,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","PIO PIO BROOKLYN INC","","282 KINGS HWY","","BROOKLYN","NY",11223,810521,"03/04/2014","03/04/2014","02/28/2016",40.6051807,-73.98017261,"(40.6051807, -73.98017261)"
1260091,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","CAFECITO BOGOTA INC","","1015 MANHATTAN AVE","GREEN & HURON STREETS","BROOKLYN","NY",11222,788747,"02/29/2012","02/01/2014","01/31/2016",40.73364138,-73.95481957,"(40.73364138, -73.95481957)"
1258435,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MIKA JAPANESE CUISINE & BAR INC","","150 CENTRE ST","","NEW YORK","NY",10013,811148,"02/10/2012","07/03/2014","01/31/2016",40.71762086,-74.00024894,"(40.71762086, -74.00024894)"
1024644,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MOONWALKERS RESTAURANT CORP","PYRAMID","101 AVENUE A","","NEW YORK","NY",10009,810985,"06/03/2014","06/03/2014","04/30/2016",40.72573783,-73.98382678,"(40.72573783, -73.98382678)"
1282315,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","M & J FLOW LOUNGE INC","","876 E 149TH ST","","BRONX","NY",10455,831282,"03/13/2015","03/13/2015","02/28/2017",40.81116,-73.90338,"(40.81116, -73.90338)"
1274019,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","AYA NYC LLC","SHOCHU AND TAPAS AYA","247 E 50TH ST","","NEW YORK","NY",10022,810397,"02/06/2014","02/06/2014","01/31/2016",40.75536674,-73.969701,"(40.75536674, -73.969701)"
1108376,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","GIGINO AT WAGNER PARK LLC","","20 BATTERY PLACE","FIRST PLACE LITTLE WEST STREET","NEW YORK","NY",10004,836453,"","07/01/2014","06/30/2016",40.70475627,-74.01715084,"(40.70475627, -74.01715084)"
1026451,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","UNCLE NICKS INC","UNCLE NICKS","747 9TH AVENUE","","NEW YORK","NY",10019,841982,"12/06/1994","12/01/2014","11/30/2016",40.76372569,-73.98883457,"(40.76372569, -73.98883457)"
1219290,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","ESPERANZA FOOD CORP","CARIBE STAR","54 55 MYRTLE AVE","ST NICHOLAS & PALMETO ST","RIDGEWOOD","NY",11385,849691,"07/14/2009","07/01/2015","06/30/2017",40.6998336,-73.90922927,"(40.6998336, -73.90922927)"
1219286,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","BAR 101 LLC","","230 W 101ST STREET","","NEW YORK","NY",10025,853426,"10/21/2009","10/01/2015","09/30/2017",40.79791875,-73.96977579,"(40.79791875, -73.96977579)"
1282265,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TAQUERIA SAINT MARKS PLACE INC","TAQUERIA ST MARKS","79 SAINT MARKS PL","","NEW YORK","NY",10003,831238,"03/03/2015","03/03/2015","02/28/2017",40.72788,-73.98554,"(40.72788, -73.98554)"
1274042,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","GARLIC NY PIZZA BAR CO LTD","","629 2ND AVE","","NEW YORK","NY",10016,855829,"12/27/2013","12/21/2015","11/30/2017",40.74500637,-73.97570884,"(40.74500637, -73.97570884)"
1219075,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","SHAYZ LOUNGE INC","SHAYZ LOUNGE","130 FRANKLIN STREET","","BROOKLYN","NY",11222,849732,"06/25/2009","06/01/2015","05/31/2017",40.72929083,-73.95742191,"(40.72929083, -73.95742191)"
1196362,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","211 AVE A RESTAURANT INC","SHOOLBRED'S","197 2ND AVE","","NEW YORK","NY",100035706,856186,"12/20/2007","12/01/2015","11/30/2017",40.73125449,-73.98582994,"(40.73125449, -73.98582994)"
1282213,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","675 VENTURES LLC","THE CATALINA","675A 9TH AVE","","NEW YORK","NY",10036,831129,"02/02/2015","02/02/2015","01/31/2017",40.76145,-73.99051,"(40.76145, -73.99051)"
1274081,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","ASTORIA BOULEVARD RESTAURANT GROUP LTD","REPUBLIC","33-29 ASTORIA BLV","","ASTORIA","NY",11103,810486,"02/26/2014","02/26/2014","01/31/2016",40.77020846,-73.91462783,"(40.77020846, -73.91462783)"
1274084,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","WOODSIDE EVENTS INC","MARYANNS WOODSIDE EVENTS","5802 37TH AVE","","WOODSIDE","NY",11377,810520,"03/04/2014","03/04/2014","02/28/2016",40.7498375,-73.90430426,"(40.7498375, -73.90430426)"
1274086,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","RAJA RESTAURANT CORP","DOSA ROYALE","316 COURT ST","","BROOKLYN","NY",11231,854696,"11/27/2013","11/01/2015","10/31/2017",40.68336841,-73.99541044,"(40.68336841, -73.99541044)"
1137254,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HARD ROCK CAFE INTERNATIONAL (USA) INC","HARD ROCK CAFE","1501 BROADWAY","ON 57TH BET 7TH  & 8TH AVENUES","NEW YORK","NY",10036,847876,"10/07/2005","04/01/2015","03/31/2017",40.75749275,-73.98600647,"(40.75749275, -73.98600647)"
1218715,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","KGD FIFTH, LLC","HIGHDIVE","243 FIFTH AVENUE","CARROLL STREET & PRESIDENT ST","BROOKLYN","NY",11215,848025,"04/29/2009","04/01/2015","03/31/2017",40.67502808,-73.98132007,"(40.67502808, -73.98132007)"
1108541,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CARLOW EAST CORP","CARLOW EAST","1254 LEXINGTON AVENUE","84TH & 85TH STREETS","NEW YORK","NY",10028,838304,"","09/05/2014","08/31/2016",40.77869533,-73.95622937,"(40.77869533, -73.95622937)"
1274110,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","UNCLE BOON'S LLC","","7 SPRING ST","","NEW YORK","NY",10012,854961,"11/07/2013","11/01/2015","10/31/2017",40.72111186,-73.99425242,"(40.72111186, -73.99425242)"
1282115,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","MILLYS CORNER RESTAURANT AND BAR CORP","","1129 LONGWOOD AVE","","BRONX","NY",10474,831127,"02/02/2015","02/02/2015","01/31/2017",40.81484,-73.8929,"(40.81484, -73.8929)"
1124479,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","THE WESTSIDE OF BROADWAY REST GRP","TOAST","2737 BROADWAY","","NEW YORK","NY",10025,788785,"03/20/2002","03/01/2014","02/29/2016",40.80045952,-73.96817761,"(40.80045952, -73.96817761)"
1218543,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","MONTE LIMAR SPORTS BAR INC","MONTE LIMAR SPORTS BAR","172 37 HILLSIDE AVE","KINGSTON PL & 173RD ST","JAMAICA","NY",11432,848922,"04/22/2009","04/14/2015","03/31/2017",40.71211448,-73.78936534,"(40.71211448, -73.78936534)"
1274127,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","WAITERS 0 AND 82 LLC","","892 900 FULTON ST","","BROOKLYN","NY",11238,830676,"10/28/2014","10/28/2014","09/30/2016",40.68310435,-73.96508905,"(40.68310435, -73.96508905)"
1256797,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","EL RANCHO LOS COMPADRES CORP","","110 SHERMAN AVE","DYCKMAN ST & ACADEMY ST","NEW YORK","NY",10034,853219,"10/21/2011","10/01/2015","09/30/2017",40.86399197,-73.92503881,"(40.86399197, -73.92503881)"
1279087,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","SHERIDAN TAVERNS INC","THE BREWERY BAR AND KITCHEN","49-18 30TH AVE","","WOODSIDE","NY",11377,811472,"09/12/2014","09/12/2014","08/31/2016",40.7604,-73.90766,"(40.7604, -73.90766)"
1256680,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","BROADWAY BARBECUE CORP","THE STRAND","25 27 29 BROADWAY","","ASTORIA","NY",11106,837837,"08/30/2012","08/21/2014","07/31/2016",40.77088833,-73.91885296,"(40.77088833, -73.91885296)"
1218182,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","ABIMBOLA A IZEVBEHAI","TROPICAL GRILL","153 41 ROCKAWAY BLVD STORE 5&6","153RD & 132ND","JAMAICA","NY",11434,852780,"09/28/2009","09/01/2015","08/31/2017",40.66961308,-73.78252329,"(40.66961308, -73.78252329)"
1218167,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","187 RESTAURANT CORP","REFRIED BEANS MEXICAN GRILL","591 FORT WASHINGTON AVENUE","186TH & 187TH STREETS","NEW YORK","NY",10033,843738,"02/09/2009","02/01/2015","01/31/2017",40.85482982,-73.93704098,"(40.85482982, -73.93704098)"
1161288,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","GINO S OF BAYSIDE LLC","TRATTORIA THIRTY FIVE","213 15 35TH AVENUE","CRN 35TH AVE & BELL BLVD","BAYSIDE","NY",11361,837299,"08/10/2006","08/01/2014","07/31/2016",40.76893671,-73.7742417,"(40.76893671, -73.7742417)"
1218068,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","CHENG CHENG RESTAURANT LTD","LEES RESTAURANT","1546 MYRTLE AVE","MYRTLE AVE & PALMETO ST","BROOKLYN","NY",11208,850516,"08/21/2009","08/01/2015","07/31/2017",40.69940247,-73.91204619,"(40.69940247, -73.91204619)"
1196589,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","FIG & OLIVE FIFTH AVENUE LLC","FIG & OLIVE","10 E 52ND ST","FIFTH AVENUE/MADISON AVENUE","NEW YORK","NY",10022,802534,"03/31/2008","03/01/2014","02/29/2016",40.75949789,-73.97576096,"(40.75949789, -73.97576096)"
1218044,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","KENROCK ENTERPRISES LLC","ROCKWOOD'S","192 ALLEN ST","GROUND FLOOR","NEW YORK","NY",10002,811067,"04/13/2010","06/18/2014","03/31/2016",40.72239691,-73.988708,"(40.72239691, -73.988708)"
1124425,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","TASTE ASSOCIATES CORP","CENTRAL","20 30 STEINWAY STREET","20TH AVE & 20TH ROAD","ASTORIA","NY",11105,841846,"11/20/2002","11/01/2014","10/31/2016",40.77578705,-73.90256909,"(40.77578705, -73.90256909)"
1108602,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","LOOP DE LOU PRODUCTION CORP","UNION POOL","484 486 UNION AVENUE","","BROOKLYN","NY",11211,838546,"","10/01/2014","09/30/2016",40.71550301,-73.95178884,"(40.71550301, -73.95178884)"
1274165,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","RESTAURANT DE LA MORA INC","","84-19 NORTHERN BLVD","","JACKSON HEIGHTS","NY",11372,855257,"11/21/2013","11/01/2015","10/31/2017",40.75585817,-73.88278248,"(40.75585817, -73.88278248)"
1217911,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ALPHA FUSION INC","ALPHA FUSION","365 W 34TH STREET","8TH & 9TH AVES","NEW YORK","NY",10001,844555,"03/10/2009","03/01/2015","02/28/2017",40.7530086,-73.99525614,"(40.7530086, -73.99525614)"
1256846,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","JANELLES CUISINE & BAR INC","","671 WASHINGTON AVE","","BROOKLYN","NY",11238,851961,"09/20/2011","09/01/2015","08/31/2017",40.67718176,-73.96355968,"(40.67718176, -73.96355968)"
1281946,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","CASTLE HILLS BAR & GRILL LLC","","1421 ST JOHNS PL","","BROOKLYN","NY",11213,830856,"12/04/2014","12/04/2014","11/30/2016",40.67065,-73.93128,"(40.67065, -73.93128)"
1217898,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","228 WEST 10TH STREET LLC","L'ARTUSI","228 W 10TH ST","BLEECKER & HUDSON","NEW YORK","NY",10014,849519,"06/24/2009","06/01/2015","05/31/2017",40.73387598,-74.00504849,"(40.73387598, -74.00504849)"
1281931,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","RIOU BAR LOUNGE LLC","RIOU BAR LOUNGE","28-43 STEINWAY ST","","ASTORIA","NY",11103,831447,"04/14/2015","03/18/2015","03/31/2017",40.76426,-73.91428,"(40.76426, -73.91428)"
1281926,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","BNP 3115 CORP","NAMASTE","31-15 30TH AVE","","ASTORIA","NY",11102,831419,"04/09/2015","04/09/2015","03/31/2017",40.76677,-73.92065,"(40.76677, -73.92065)"
1217853,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","FISHLEGS LLC","FISHTAIL","135 E 62ND STREET","PARK AVE & LEXINGTON AVENUE","NEW YORK","NY",10065,850033,"07/01/2009","07/01/2015","06/30/2017",40.76422871,-73.9669721,"(40.76422871, -73.9669721)"
1281922,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TM 358 CORP","TM 358","237 W 35TH ST","","NEW YORK","NY",10001,831022,"01/07/2015","01/07/2015","12/31/2016",40.75246,-73.99146,"(40.75246, -73.99146)"
1274178,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","GJD RESTAURANT LLC","SPIGOLO","1471 2ND AVE","","NEW YORK","NY",10075,855607,"12/31/2013","12/09/2015","11/30/2017",40.77174098,-73.95625728,"(40.77174098, -73.95625728)"
1108625,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CHINA 1221 INC","CHINA FUN","1221 2ND AVE","","NEW YORK","NY",10021,843908,"","03/01/2015","02/28/2017",40.76373503,-73.96211987,"(40.76373503, -73.96211987)"
1161448,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SBCPS LLC","SARABATH'S","40 CENTRAL PARK S","5TH & 6TH AVENUES","NEW YORK","NY",10019,848753,"05/02/2005","05/01/2015","04/30/2017",40.76477978,-73.97427884,"(40.76477978, -73.97427884)"
1274197,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TUTTO IL GIORNO NYC LLC","TUTTO IL GIORNO","114 FRANKLIN ST","GROUND FLOOR AND BASEMENT","NEW YORK","NY",10013,810910,"05/20/2014","05/20/2014","04/30/2016",40.71859349,-74.00602832,"(40.71859349, -74.00602832)"
1023983,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","G G P BAR & GRILL CORP","KASTELI 11","372 8TH AVENUE","","NEW YORK","NY",10001,845295,"07/01/1981","03/02/2015","02/28/2017",40.74873322,-73.99587745,"(40.74873322, -73.99587745)"
1281810,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TRES MOSQUETEROS CORP","LA PULPERIA 46 NYC","371 W 46TH ST","","NEW YORK","NY",10036,830937,"12/18/2014","12/18/2014","11/30/2016",40.76097,-73.99024,"(40.76097, -73.99024)"
1217483,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","2 SNEDEN AVENUE LLC","PLAY SPORTS LOUNGE","2-4 SNEDEN AVENUE","ANNADALE RD, SNEDEN AVE","STATEN ISLAND","NY",10312,849731,"07/09/2009","07/01/2015","06/30/2017",40.52571685,-74.16845073,"(40.52571685, -74.16845073)"
1217469,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","STAND UP 236 LLC","STAND UP NY","236 W 78TH ST","","NEW YORK","NY",10024,851197,"09/21/2009","09/01/2015","08/31/2017",40.78306568,-73.98025764,"(40.78306568, -73.98025764)"
1281781,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","OCEAN SKY LLC","BONCHON","25-30 BROADWAY","","ASTORIA","NY",11106,831240,"03/03/2015","03/03/2015","02/28/2017",40.7627,-73.92757,"(40.7627, -73.92757)"
1281752,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","MVR RESTAURANT & BAR CORP","LAS MARGARITAS BAR & RESTAURANT","7206 3RD AVE","","BROOKLYN","NY",11209,831241,"03/03/2015","03/03/2015","02/28/2017",40.63336,-74.02733,"(40.63336, -74.02733)"
1274213,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","AGGIEPOLO INC","JASPER'S TAPHOUSE & KITCHEN","761 9TH AVE","","NEW YORK","NY",10019,810571,"03/12/2014","03/12/2014","02/28/2016",40.76412584,-73.98845388,"(40.76412584, -73.98845388)"
1273051,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","RM OPS 82 LLC","THE SIMONE","151 E 82ND ST","","NEW YORK","NY",10028,854090,"10/29/2013","10/01/2015","09/30/2017",40.77680619,-73.95725219,"(40.77680619, -73.95725219)"
1274236,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","OLIVER'S ASTORIA LLC","OLIVERS GASTROPUB","3719 BROADWAY","","ASTORIA","NY",11103,854698,"12/11/2013","12/01/2015","11/30/2017",40.75964842,-73.92043712,"(40.75964842, -73.92043712)"
1217249,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","J J C D INC","BRONX ALE HOUSE","216 W 238TH STREET","REVIEW PLACE & PUTNAM AVE","BRONX","NY",10463,846593,"06/26/2009","06/01/2015","05/31/2017",40.88472595,-73.89965266,"(40.88472595, -73.89965266)"
1260025,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","ESQUIRE LOUNGE LLC","","1629 SHEEPSHEAD BAY RD","","BROOKLYN","NY",11235,841533,"11/05/2012","11/01/2014","10/31/2016",40.5869008,-73.95262317,"(40.5869008, -73.95262317)"
1274248,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","FIVE STAR FOOD & BEVERAGE COMPANY INC","MASALA BOX","42-02 BELL BLVD","","BAYSIDE","NY",11361,810837,"05/08/2014","05/08/2014","04/30/2016",40.76253549,-73.77048381,"(40.76253549, -73.77048381)"
1281672,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","KAEDE JAPANESE CUISINE INC","","90 CHAMBERS ST","","NEW YORK","NY",10007,831011,"01/05/2015","01/05/2015","12/31/2016",40.71444,-74.00743,"(40.71444, -74.00743)"
1024636,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","LOVE PICIN INC","COYOTE UGLY SALOON","153 1ST AVENUE","","NEW YORK","NY",10009,842005,"","01/01/2015","12/31/2016",40.72845826,-73.98473697,"(40.72845826, -73.98473697)"
